kategorie(),procent rabatu,"cechy(A:wartosc,B:)",nazwa,cena brutto,opis,adres zdjecia,produkt wirtualny
"Strona główna,super last minute,turcja",40,"Data rozpoczęcia:sob. 12.12.2020,Czas Trwania:7 dni,Posiłki:AI - All Inclusive,Wylot z:Katowice,Operator:Coral Travel",Aquaworld Belek by MP Hotels (ex. Waterworld Belek by MP Hotels),1102,"<h3 class=""hotel-description__subject hotel--description--subject"">KATEGORIA:</h3>,<p>5*</p>,<h3 class=""hotel-description__subject hotel--description--subject"">REGION:</h3>,<p>Belek</p>,<h3 class=""hotel-description__subject hotel--description--subject"">OPIS:</h3>,<p>Hotel z wyżywieniem Ultra All Inclusive położony tuż przy plaży z basenami i zjeżdżalniami będzie idealnym pomysłem na spędzenie udanych wakacji dla całej rodziny. Ponadto w obiekcie znajdziemy szereg innych atrakcji, takich jak na przykład animacje, centrum SPA, czy korty do tenisa ziemnego. To wszystko sprawia, że pobyt w tym miejscu będzie niezapomniany.</p>,<h3 class=""hotel-description__subject hotel--description--subject"">lokalizacja:</h3>,<p>2 km od centrum Belek, 35 km od lotniska w Antalyi-AYT. Hotel usytuowany na powierzchni: 220000 m2.</p>,<h3 class=""hotel-description__subject hotel--description--subject"">kategoria organizatora:</h3>",https://cdntravelplanet.pl/30303/WEZY/miniature650x367/turcja/belek/belek/aquaworld-belek-by-mp-hotels-(ex.-waterworld-belek-by-mp-hotels)_0.jpg?datago=1&t=637436095224239219,1
"Strona główna,super last minute,turcja",31,"Data rozpoczęcia:sob. 12.12.2020,Czas Trwania:7 dni,Posiłki:AI - All Inclusive,Wylot z:Katowice,Operator:Coral Travel",Limak Arcadia Sport Resort,1095,"<h3 class=""hotel-description__subject hotel--description--subject"">KATEGORIA:</h3>,<p>5*</p>,<h3 class=""hotel-description__subject hotel--description--subject"">REGION:</h3>,<p>Belek</p>,<h3 class=""hotel-description__subject hotel--description--subject"">OPIS:</h3>,<p>Polecany szczególnie rodzinom z dziećmi, na które czeka tu mnóstwo udogodnień, plac zabaw i miniklub. Hotel oferuje ciekawe animacje i dużo rozrywek. Dla szukających dodatkowych wrażeń plusem będzie bliska odległość do Belek z licznymi sklepami i restauracjami oraz doskonale przygotowane pola golfowe.</p>,<h3 class=""hotel-description__subject hotel--description--subject"">lokalizacja:</h3>,<p>700 m od centrum Belek, 35 km od lotniska w Antalyi-AYT. Hotel usytuowany na powierzchni: 97000 m2.</p>,<h3 class=""hotel-description__subject hotel--description--subject"">kategoria organizatora:</h3>",https://cdntravelplanet.pl/966/WEZY/miniature650x367/turcja/belek/belek/limak-arcadia-sport-resort_0.jpg?datago=1&t=637432576175506172,1
"Strona główna,super last minute,turcja",23,"Data rozpoczęcia:sob. 12.12.2020,Czas Trwania:7 dni,Posiłki:AI - All Inclusive,Wylot z:Katowice,Operator:Coral Travel",Limak Limra,1083,"<h3 class=""hotel-description__subject hotel--description--subject"">KATEGORIA:</h3>,<p>5*</p>,<h3 class=""hotel-description__subject hotel--description--subject"">REGION:</h3>,<p>Kemer</p>,<h3 class=""hotel-description__subject hotel--description--subject"">OPIS:</h3>,<p>Luksusowy hotel położony w miejscowości Kiris. Bogaty wybór dań lokalnych, kompleks basenów i wiele udogodnień dla najmłodszych to wszystko sprawi, że wakacje w Kemer będą udane. Polecany także dla aktywnych Gości dzięki urozmaiconej infrastrukturze sportowo-rekreacyjnej na terenie hotelu.</p>,<h3 class=""hotel-description__subject hotel--description--subject"">lokalizacja:</h3>,<p>7 km od centrum Kemer, 75 km od lotniska w Antalyi-AYT. Hotel usytuowany na powierzchni: 140000 m2.</p>,<h3 class=""hotel-description__subject hotel--description--subject"">kategoria organizatora:</h3>",https://cdntravelplanet.pl/708/WEZY/miniature650x367/turcja/kemer/kemer/limak-limra_0.jpg?datago=1&t=637433917957566719,1
"Strona główna,super last minute,turcja",37,"Data rozpoczęcia:sob. 12.12.2020,Czas Trwania:7 dni,Posiłki:RO - Bez wyżywienia,Wylot z:Katowice,Operator:Coral Travel",Bin Billa,675,"<h3 class=""hotel-description__subject hotel--description--subject"">KATEGORIA:</h3>,<p>3*</p>,<h3 class=""hotel-description__subject hotel--description--subject"">REGION:</h3>,<p>Alanya</p>,<h3 class=""hotel-description__subject hotel--description--subject"">lokalizacja:</h3>,<p>3 km od centrum Alanyi, 35 km od lotniska w Gazipasa-GZP. Hotel usytuowany na powierzchni: 2000 m2.</p>,<h3 class=""hotel-description__subject hotel--description--subject"">kategoria organizatora:</h3>,<p>3*</p>,<h3 class=""hotel-description__subject hotel--description--subject"">kategoria lokalna:</h3>",https://cdntravelplanet.pl/29752/WEZY/miniature650x367/turcja/alanya/alanya/bin-billa_0.jpg?datago=1&t=637435211293555625,1
"Strona główna,super last minute,turcja",34,"Data rozpoczęcia:sob. 12.12.2020,Czas Trwania:7 dni,Posiłki:BB - Śniadania,Wylot z:Katowice,Operator:Coral Travel",Alp Pasa,1029,"<h3 class=""hotel-description__subject hotel--description--subject"">KATEGORIA:</h3>,<p>hotel butikowy</p>,<h3 class=""hotel-description__subject hotel--description--subject"">REGION:</h3>,<p>Antalya</p>,<h3 class=""hotel-description__subject hotel--description--subject"">OPIS:</h3>,<p>Stylowy hotel butikowy przekształcony ze starej osmańskiej rezydencji oferuje nowoczesne, stylowe i zaciszne miejsce w samym sercu miasta. Zlokalizowany jest w Kaleici - jednej z najbardziej urokliwych dzielnic Antalyi.Budynek pochodzi z XVIII wieku i charakteryzuje się wyjątkową architekturą. Położony jest pośród zielonych ogrodów i zabytkowych rezydencji na Starym Mieście, w samym centrum Antalyi. Z hotelu jest bardzo blisko do przystani, plaży, centrum miasta i centrów handlowych.</p>,<h3 class=""hotel-description__subject hotel--description--subject"">lokalizacja:</h3>,<p>1 m od centrum Antalyi, 15 km od lotniska w Antalyi-AYT. Hotel usytuowany na powierzchni: 3000 m2.</p>,<h3 class=""hotel-description__subject hotel--description--subject"">kategoria organizatora:</h3>",https://cdntravelplanet.pl/894/WEZY/miniature650x367/turcja/antalya/antalya/alp-pasa_0.jpg?datago=1&t=637432501551459218,1
"Strona główna,super last minute,turcja",39,"Data rozpoczęcia:sob. 12.12.2020,Czas Trwania:7 dni,Posiłki:BB - Śniadania,Wylot z:Katowice,Operator:Coral Travel",Arsi,667,"<h3 class=""hotel-description__subject hotel--description--subject"">KATEGORIA:</h3>,<p>4*</p>,<h3 class=""hotel-description__subject hotel--description--subject"">REGION:</h3>,<p>Alanya</p>,<h3 class=""hotel-description__subject hotel--description--subject"">OPIS:</h3>,<p>Kameralny, niewielki, miejski hotel położony w Alanyi, niedaleko plaży.</p>,<h3 class=""hotel-description__subject hotel--description--subject"">lokalizacja:</h3>,<p>1 km od centrum Alanyi, 39 km od lotniska Gazipasa-GZP, 125 km od lotniska w Antalyi-AYT. Hotel usytuowany na powierzchni: 3500 m2.</p>,<h3 class=""hotel-description__subject hotel--description--subject"">kategoria organizatora:</h3>",https://cdntravelplanet.pl/12100/WEZY/miniature650x367/turcja/alanya/alanya/arsi_0.jpg?datago=1&t=637432788036000390,1
"Strona główna,super last minute,turcja",39,"Data rozpoczęcia:sob. 12.12.2020,Czas Trwania:7 dni,Posiłki:BB - Śniadania,Wylot z:Katowice,Operator:Coral Travel",Paradise (Kemer),634,"<h3 class=""hotel-description__subject hotel--description--subject"">KATEGORIA:</h3>,<p>3*</p>,<h3 class=""hotel-description__subject hotel--description--subject"">REGION:</h3>,<p>Kemer</p>,<h3 class=""hotel-description__subject hotel--description--subject"">lokalizacja:</h3>,<p>100 m od centrum Kemer, 60 km od lotniska w Antalyi-AYT. Hotel usytuowany na powierzchni: 1850 m2.</p>,<h3 class=""hotel-description__subject hotel--description--subject"">kategoria organizatora:</h3>,<p>3*</p>,<h3 class=""hotel-description__subject hotel--description--subject"">kategoria lokalna:</h3>",https://cdntravelplanet.pl/3826/WEZY/miniature650x367/turcja/kemer/kemer/paradise-(kemer)_0.jpg?datago=1&t=637432490404467735,1
"Strona główna,super last minute,turcja",21,"Data rozpoczęcia:sob. 12.12.2020,Czas Trwania:7 dni,Posiłki:RO - Bez wyżywienia,Wylot z:Katowice,Operator:Coral Travel",Citrus Park,685,"<h3 class=""hotel-description__subject hotel--description--subject"">KATEGORIA:</h3>,<p>hotel butikowy</p>,<h3 class=""hotel-description__subject hotel--description--subject"">REGION:</h3>,<p>Antalya</p>,<h3 class=""hotel-description__subject hotel--description--subject"">OPIS:</h3>,<p>Kameralny hotel z basenem oferuje komfortowo urządzone pokoje. Obiekt znajduje się niedaleko centrum Antalyi, co z pewnością ucieszy wszystkich tych, którzy szukają wrażeń i pragną poznać liczne atrakcje, jakie ma do zaoferowania to miasto.</p>,<h3 class=""hotel-description__subject hotel--description--subject"">lokalizacja:</h3>,<p>2 km od centrum Antalyi, 20 km od lotniska w Antalyi-AYT. Hotel usytuowany na powierzchni: 1200 m2.</p>,<h3 class=""hotel-description__subject hotel--description--subject"">kategoria organizatora:</h3>",https://cdntravelplanet.pl/31806/WEZY/miniature650x367/turcja/antalya/antalya/citrus-park_0.jpg?datago=1&t=637432614000193672,1
"Strona główna,super last minute,turcja",27,"Data rozpoczęcia:sob. 12.12.2020,Czas Trwania:7 dni,Posiłki:BB - Śniadania,Wylot z:Warszawa,Operator:Coral Travel",Green Life (Kestel),631,"<h3 class=""hotel-description__subject hotel--description--subject"">KATEGORIA:</h3>,<p>4*</p>,<h3 class=""hotel-description__subject hotel--description--subject"">REGION:</h3>,<p>Alanya</p>,<h3 class=""hotel-description__subject hotel--description--subject"">OPIS:</h3>,<p>Położony niedaleko plaży i centrum miasta hotel oferuje swoim Gościom restauracje, bary, basen ze zjeżdżalniami oraz zakwaterowanie w pokojach standardowych i rodzinnych. Pobyt z pewnością urozmaici infrastruktura sportowo-rekreacyjna oraz względnie niewielka odległość do atrakcji turystycznych jakie oferuje Alanya.</p>,<h3 class=""hotel-description__subject hotel--description--subject"">lokalizacja:</h3>,<p>4 km od centrum Alanyi, 35 km od lotniska w Gazipasa-GZP, 133 km od lotniska w Antalyi. Hotel usytuowany na powierzchni: 4000 m2.</p>,<h3 class=""hotel-description__subject hotel--description--subject"">kategoria organizatora:</h3>",https://cdntravelplanet.pl/24390/WEZY/miniature650x367/turcja/alanya/kestel/green-life-(kestel)_0.jpg?datago=1&t=637434483565840782,1
"Strona główna,super last minute,turcja",27,"Data rozpoczęcia:sob. 12.12.2020,Czas Trwania:7 dni,Posiłki:RO - Bez wyżywienia,Wylot z:Warszawa,Operator:Coral Travel",Mysea Incekum,631,"<h3 class=""hotel-description__subject hotel--description--subject"">KATEGORIA:</h3>,<p>4*</p>,<h3 class=""hotel-description__subject hotel--description--subject"">REGION:</h3>,<p>Alanya</p>,<h3 class=""hotel-description__subject hotel--description--subject"">OPIS:</h3>,<p>Obiekt oferuje min. zjeżdżalnie, animacje, a z myślą o najmłodszych plac zabaw i miniklub. To miejsce dla wszystkich tych, którzy poszukują ciszy i spokoju. Ponadto dzięki swojemu położeniu - w pobliżu miejscowości Avsallar Goście będą mogli udać się na zakupy, jak i zobaczyć jakie inne atrakcje ma do zaoferowania to miejsce.</p>,<h3 class=""hotel-description__subject hotel--description--subject"">lokalizacja:</h3>,<p>2 km od Avsallar, 22 km od centrum Alanyi, 65 km od lotniska w Gazipasa-GZP, 101 km od lotniska w Antalyi-AYT. Hotel usytuowany na powierzchni: 4000 m2.</p>,<h3 class=""hotel-description__subject hotel--description--subject"">kategoria organizatora:</h3>",https://cdntravelplanet.pl/22021/WEZY/miniature650x367/turcja/alanya/incekum/mysea-incekum_0.jpg?datago=1&t=637433239612371406,1
"Strona główna,super last minute,hiszpania",,"Data rozpoczęcia:pon. 21.12.2020,Czas Trwania:6 dni,Posiłki:RO - Bez wyżywienia,Wylot z:Warszawa - Modlin,Operator:Yobboo",Senator Castellana (ex. Amaral),1505,"<h3 class=""hotel-description__subject hotel--description--subject"">Wyposażenie:</h3>,<p>Hotel ten został wzniesiony w 2006 roku. Goście zakwaterowani są w 126 pokojach. Większość pięter osiągalna jest za pomocą windy. Do dyspozycji gości jest sejf. W pomieszczeniach ogólnodostępnych skorzystać można z Wi-Fi. Do dyspozycji gości jest restauracja, sala śniadaniowa, kawiarnia i bar. W obrębie obiektu znajduje się ogród. Auto pozostawić można w garażu (odpłatnie) oraz na parkingu (odpłatnie). Do pozostałych świadczonych usług należą wypożyczalnia samochodów, serwis pokojowy i pralnia.</p>,<h3 class=""hotel-description__subject hotel--description--subject"">Pokoje:</h3>,<p>W ofercie znajdują się pokoje z klimatyzacją, centralnym ogrzewaniem i łazienką. Spokojny sen zapewni Państwu łóżko podwójne. Sejf oraz (odpłatnie) minibarek są również do dyspozycji gości. Elementami podwyższającymi komfort pobytu są internet, telefon, telewizor i Wi-Fi. Ponadto w ofercie znajdują sie pokoje przystosowane dla osób poruszających się na wózkach inwalidzkich. Łazienki wyposażone są w prysznic i wannę. W łazienkach znajduje się ponadto suszarka do włosów. Istnieje również możliwość rezerwacji kwatery z łazienką dla osób niepełnosprawnych. Obiekt oferuje pokoje dla niepalących.</p>,<h3 class=""hotel-description__subject hotel--description--subject"">Oferta sportowo-rozrywkowa:</h3>,<p>Zapraszamy do skorzystania z naszej oferty sportowo-rekreacyjnej. Kąpiel w basenie to wspaniały sposób na orzeźwienie i ochłodę w upalne dni. Położone w cieniu parasoli leżaki idealnie nadają się na chwilę relaksu. Urozmaicony pobyt zapewnią Państwu nasze pozostałe propozycje jak studio fitness i solarium. Oprawę rozrywkową zapewnia miniklub. Copyright GIATA 2004 - 2020. Multilingual, powered by www.giata.com for client no. 126372</p>,<h3 class=""hotel-description__subject hotel--description--subject"">Wyżywienie:</h3>,<p>Spośród posiłków wybrać można śniadanie.</p>,<h3 class=""hotel-description__subject hotel--description--subject"">Karty kredytowe:</h3>",https://cdntravelplanet.pl/76270/XYOB/miniature650x367/hiszpania/madryt/madryt/senator-castellana-(ex.-amaral)_0.jpeg?datago=1&t=637434816118314844,1
"Strona główna,super last minute,hiszpania",20,"Data rozpoczęcia:sob. 19.12.2020,Czas Trwania:7 dni,Posiłki:RO - Bez wyżywienia,Wylot z:Kraków,Operator:Exim Tours",Bajondillo,1429,"<h3 class=""hotel-description__subject hotel--description--subject"">:</h3>,<p>4<br>Hiszpania/Costa del Sol</p>,<h3 class=""hotel-description__subject hotel--description--subject"">Kategoryzacja hotelu :</h3>,<p>- kat. Exim Tours 4*<br>- kat. lokalna 4*</p>,<h3 class=""hotel-description__subject hotel--description--subject"">Położenie :</h3>,<p>- Torremolinos<br>- oddzielony od plaży ulicą i promenadą<br>- w pobliżu sklepy, restauracje, bary<br>- ok. 700 m do centrum miejscowości<br>- ok. 3 km do Parku Wodnego Aqualand<br>- ok. 7 km do Parku Rozrywki Tivoli<br>- ok. 4 km do miejscowości Benalmadena<br>- ok. 10 km do lotniska w Maladze</p>,<h3 class=""hotel-description__subject hotel--description--subject"">Plaża :</h3>,<p>- piaszczysta, publiczna<br>- leżaki i parasole (płatne)</p>,<h3 class=""hotel-description__subject hotel--description--subject"">Pokoje :</h3>",https://cdntravelplanet.pl/29940/EXIM/miniature650x367/hiszpania/costa-del-sol/torremolinos/bajondillo_0.jpg?datago=1&t=637433777744516015,1
"Strona główna,super last minute,hiszpania",,"Data rozpoczęcia:pon. 21.12.2020,Czas Trwania:6 dni,Posiłki:RO - Bez wyżywienia,Wylot z:Warszawa - Modlin,Operator:Yobboo",NH Madrid Chamberi,1431,"<h3 class=""hotel-description__subject"">* Udogodnienia:</h3>,<p class=""convenience-advice""><span class=""orange-default"">*</span> Poprawność udogodnień zawsze weryfikuj z opisem hotelu.</p>,<h3 class=""hotel-description__subject"">Dokumenty podróży:</h3>",https://www.travelplanet.pl/Content/img/no-photo/575x325.jpg,1
"Strona główna,super last minute,hiszpania",19,"Data rozpoczęcia:sob. 19.12.2020,Czas Trwania:7 dni,Posiłki:RO - Bez wyżywienia,Wylot z:Kraków,Operator:Exim Tours",Aparthotel Sunset Beach Club,1499,"<h3 class=""hotel-description__subject hotel--description--subject"">:</h3>,<p>4<br>Hiszpania/Costa del Sol</p>,<h3 class=""hotel-description__subject hotel--description--subject"">Kategoryzacja hotelu :</h3>,<p>Kat. EximTours 4*<br>Kat. lokalna 4*</p>,<h3 class=""hotel-description__subject hotel--description--subject"">Położenie :</h3>,<p>- Benalmadena<br>- w pobliżu sklepy, bary, restauracje<br>- ok. 50 m od plaży<br>- ok. 2 km od centrum miejscowości<br>- ok. 3 km od pola golfowego<br>- ok. 6 km od Parku Wodnego Aqualand Torremolinos""<br>- ok. 7 km od miejscowości Torremolinos<br>- ok. 15 km od lotniska w Maladze</p>,<h3 class=""hotel-description__subject hotel--description--subject"">Plaża :</h3>,<p>- piaszczysta, publiczna<br>- leżaki i parasole (płatne)</p>,<h3 class=""hotel-description__subject hotel--description--subject"">Pokoje :</h3>",https://cdntravelplanet.pl/29942/EXIM/miniature650x367/hiszpania/costa-del-sol/benalmadena/aparthotel-sunset-beach-club_0.jpg?datago=1&t=637435398709648360,1
"Strona główna,super last minute,hiszpania",,"Data rozpoczęcia:sob. 19.12.2020,Czas Trwania:7 dni,Posiłki:Według programu,Wylot z:Poznań,Operator:Yobboo",Pierre & Vacances Benidorm Poniente,1383,"<h3 class=""hotel-description__subject hotel--description--subject"">Hotel:</h3>,<p></p>,<p>Hotel apartamentowy zbudowany został w roku 2009. Serdecznie zapraszamy naszych gości do łącznie 80 pokoi. W obiekcie do dyspozycji gości jest czynna 24 godziny na dobę recepcja oraz 24-godzinny check-out-service. Budynek dysponuje windą, za pomocą której można dostać się na niemal wszystkie piętra. Na miejscu znajduje się szatnia, przechowalnia bagażu, sejf i kantor wymiany walut. Wi-Fi w pomieszczeniach ogólnodostępnych zapewnia stały dostęp do sieci. Do dyspozycji gości jest restauracja, jadalnia, kawiarnia i bar. Dostępna jest baza handlowa w postaci sklepów. W obrębie hotelu znajduje się malowniczy ogród i plac zabaw. Do Państwa dyspozycji jest również sala telewizyjna i pokój zabaw dla dzieci. Goście przybywający własnym autem skorzystać mogą z parkingu. Poza tym goście skorzystać mogą z przechowalni rowerów. Do pozostałych świadczonych usług należą opieka medyczna, serwis pokojowy i pralnia. Podróżnych preferujących zapoznanie się z okolicą w sposób aktywny ucieszy z pewnością możliwość wypożyczenia rowerów (odpłatnie).</p>,<h3 class=""hotel-description__subject hotel--description--subject"">Pokoje:</h3>,<p></p>,<p>Pokoje wyposażone są w klimatyzację, centralne ogrzewanie, pomieszczenie mieszkalne, kuchnię i łazienkę. Większość pokoi posiada balkon z widokiem na okolicę. Pomieszczenia mieszkalne i sypialne dysponują łóżkiem podwójnym. Kolejnym udogodnieniem jest możliwość rezerwacji oddzielnych sypialni. W pokoju znajduje się sejf. Aneks kuchenny dla osób samodzielnie się stołujących jest optymalnie wyposażony w lodówkę, kuchenkę gazową, kuchenkę mikrofalową i ekspres do kawy / herbaty. Do dyspozycji jest ponadto pralka i zestaw do prasowania. Elementami podwyższającymi komfort pobytu są internet, telefon, telewizor, radio i Wi-Fi (odpłatnie). W naszej ofercie znajdziecie Państwo również usługę sprzątania końcowego. Dostępne są również pokoje przystosowane dla osób poruszających się na wózkach inwalidzkich. Łazienki dysponują prysznicem i wanną. W łazience goście znajdą suszarkę do włosów. Istnieje również możliwość rezerwacji kwatery z łazienką dla osób niepełnosprawnych.<br></p>,<h3 class=""hotel-description__subject hotel--description--subject"">Sport i rekreacja:</h3>,<p></p>,<p>Orzeźwienie i ochłodę znajdziecie Państwo w jednym z naszych basenów (krytym bądź otwartym). Położone w cieniu parasoli leżaki idealnie nadają się na chwilę relaksu. W ofercie baru znajdują się napoje orzeźwiające. W czasie wolnym poza rowerem / rowerem górskim, golfem, studiem fitness, zajęciami gimnastycznymi, zabiegami masażu i solarium zapraszamy również do skorzystania z nurkowania (za dodatkową opłatą). Hotel apartamentowy oferuje program rozrywkowy przeznaczony dla dorosłych gości. Copyright GIATA 2004 - 2018. Multilingual, powered by www.giata.com for client no. 126372</p>",https://cdntravelplanet.pl/HBE6546/XYOB/miniature650x367/hiszpania/costa-blanca/benidorm/pierre--vacances-benidorm-poniente_0.jpeg?datago=1&t=637433024784838907,1
"Strona główna,super last minute,grecja",,"Data rozpoczęcia:pt. 18.12.2020,Czas Trwania:6 dni,Posiłki:RO - Bez wyżywienia,Wylot z:Warszawa - Modlin,Operator:Yobboo",Cosmopolit,570,"<h3 class=""hotel-description__subject hotel--description--subject"">Opis oferty:</h3>,<p></p>,<p>Drodzy Klienci, już od wielu lat Yobboo Travel oferuje Wam wysokiej jakości wyjazdy poprzez współpracę ze sprawdzonymi i zaufanymi partnerami na całym świecie.</p>,<p>Do każdej oferty dołączamy wyjątkowy na rynku pakiet korzyści Yobboo Travel</p>,<p>- możliwość otrzymania kart pokładowych RÓWNIEŻ na lot powrotny przed rozpoczęciem podróży</p>,<p>- gwarancja niezmienności ceny GRATIS na wszystkie oferty</p>,<p>- wsparcie centrum alarmowego 24/7</p>,<h3 class=""hotel-description__subject hotel--description--subject"">Położenie:</h3>,<p></p>",https://cdntravelplanet.pl/224621/XYOB/miniature650x367/grecja/ateny/ateny/cosmopolit_0.jpeg?datago=1&t=637432126967162343,1
"Strona główna,super last minute,hiszpania",21,"Data rozpoczęcia:sob. 19.12.2020,Czas Trwania:7 dni,Posiłki:RO - Bez wyżywienia,Wylot z:Kraków,Operator:Exim Tours",Pyr Fuengirola Apartamenty,1349,"<h3 class=""hotel-description__subject hotel--description--subject"">:</h3>,<p>3<br>Hiszpania/Costa del Sol</p>,<h3 class=""hotel-description__subject hotel--description--subject"">Kategoryzacja hotelu :</h3>,<p>- kat. Exim Tours 3*<br>- kat. lokalna 3*</p>,<h3 class=""hotel-description__subject hotel--description--subject"">Położenie :</h3>,<p>- Fuengirola<br>- ok. 50 m od plaży<br>- ok. 1 km od ZOO<br>- ok. 25 km od lotniska w Maladze<br>- ok. 30 km od Marbelli<br>- ok. 36 km od Puerto Banus</p>,<h3 class=""hotel-description__subject hotel--description--subject"">Plaża :</h3>,<p>- piaszczysta (ciemny pasek), publiczna<br>- leżaki i parasole (płatne)</p>,<h3 class=""hotel-description__subject hotel--description--subject"">Pokoje :</h3>",https://cdntravelplanet.pl/29373/EXIM/miniature650x367/hiszpania/costa-del-sol/fuengirola/pyr-fuengirola-apartamenty_0.jpg?datago=1&t=637431971387582265,1
"Strona główna,super last minute,hiszpania",,"Data rozpoczęcia:sob. 19.12.2020,Czas Trwania:7 dni,Posiłki:RO - Bez wyżywienia,Wylot z:Kraków,Operator:Yobboo",Ilunion Fuengirola,1373,"<h3 class=""hotel-description__subject hotel--description--subject"">Opis oferty:</h3>,<p></p>,<p>Drodzy Klienci, już od wielu lat Yobboo Travel oferuje Wam wysokiej jakości wyjazdy poprzez współpracę ze sprawdzonymi i zaufanymi partnerami na całym świecie.</p>,<p>Do każdej oferty dołączamy wyjątkowy na rynku pakiet korzyści Yobboo Travel</p>,<p>- możliwość otrzymania kart pokładowych RÓWNIEŻ na lot powrotny przed rozpoczęciem podróży</p>,<p>- gwarancja niezmienności ceny GRATIS na wszystkie oferty</p>,<p>- wsparcie centrum alarmowego 24/7</p>,<h3 class=""hotel-description__subject hotel--description--subject"">Hotel:</h3>,<p>Udogodnienia na terenie hotelu: lokalizacja przy plaży, wypożyczalnia rowerów (dodatkowa opłata), bar, restauracja, WiFi, basen, solarium, przechowalnia bagażu, pralnia (dodatkowa opłata), klimatyzacja, ogrzewanie, winda.<br></p>",https://cdntravelplanet.pl/16431/XYOB/miniature650x367/hiszpania/costa-del-sol/fuengirola/ilunion-fuengirola_0.jpeg?datago=1&t=637432273729155313,1
"Strona główna,super last minute,hiszpania",,"Data rozpoczęcia:sob. 19.12.2020,Czas Trwania:7 dni,Posiłki:Według programu,Wylot z:Poznań,Operator:Yobboo",Albir Playa,1364,"<h3 class=""hotel-description__subject hotel--description--subject"">Opis oferty:</h3>,<p></p>,<p>Drodzy Klienci, już od wielu lat Yobboo Travel oferuje Wam wysokiej jakości wyjazdy poprzez współpracę ze sprawdzonymi i zaufanymi partnerami na całym świecie.</p>,<p>Do każdej oferty dołączamy wyjątkowy na rynku pakiet korzyści Yobboo Travel</p>,<p>- możliwość otrzymania kart pokładowych RÓWNIEŻ na lot powrotny przed rozpoczęciem podróży</p>,<p>- gwarancja niezmienności ceny GRATIS na wszystkie oferty</p>,<p>- wsparcie centrum alarmowego 24/7</p>,<h3 class=""hotel-description__subject hotel--description--subject"">Hotel:</h3>,<p></p>",https://cdntravelplanet.pl/HBE820/XYOB/miniature650x367/hiszpania/costa-blanca/albir/albir-playa_0.jpeg?datago=1&t=637433039564783516,1
"Strona główna,super last minute,turcja",12,"Data rozpoczęcia:sob. 12.12.2020,Czas Trwania:7 dni,Posiłki:AI - All Inclusive,Wylot z:Katowice,Operator:Coral Travel",Sayanora,631,"<h3 class=""hotel-description__subject hotel--description--subject"">KATEGORIA:</h3>,<p>3*</p>,<h3 class=""hotel-description__subject hotel--description--subject"">REGION:</h3>,<p>Side</p>,<h3 class=""hotel-description__subject hotel--description--subject"">lokalizacja:</h3>,<p>1 km od Side, 68 km od lotniska w Antalyi-AYT. Hotel usytuowany na powierzchni: 4000 m2.</p>,<h3 class=""hotel-description__subject hotel--description--subject"">kategoria organizatora:</h3>,<p>3*</p>,<h3 class=""hotel-description__subject hotel--description--subject"">kategoria lokalna:</h3>",https://cdntravelplanet.pl/10157/WEZY/miniature650x367/turcja/side/side/sayanora_0.jpg?datago=1&t=637435206346622032,1
"Strona główna,super last minute,hiszpania",,"Data rozpoczęcia:pon. 21.12.2020,Czas Trwania:6 dni,Posiłki:RO - Bez wyżywienia,Wylot z:Warszawa - Modlin,Operator:Yobboo",Mediodia (Madryt),1348,"<h3 class=""hotel-description__subject hotel--description--subject"">Wyposażenie:</h3>,<p>Hotel zbudowany został w roku 1920. Serdecznie zapraszamy naszych gości do łącznie 180 pokoi. Na poszczególne piętra można się bezproblemowo dostać za pomocą windy bądź schodami. W skład wyposażenia wchodzą sejf, kawiarnia, bar i pralnia. W pomieszczeniach ogólnodostępnych skorzystać można z Wi-Fi. Auto pozostawić można w garażu (odpłatnie) oraz na parkingu.</p>,<h3 class=""hotel-description__subject hotel--description--subject"">Pokoje:</h3>,<p>W ofercie znajdują się pokoje z klimatyzacją, centralnym ogrzewaniem i łazienką. Balkon należy do standardowego wyposażenia większości pokoi. Spokojny sen zapewni Państwu łóżko podwójne. Istnieje możliwość dostawki. W pokoju znajduje się sejf. W skład standardowego wyposażenia wchodzi również minilodówka. Elementami podwyższającymi komfort pobytu są internet, telefon, telewizor i Wi-Fi. Łazienki dysponują prysznicem i wanną. W łazience goście znajdą suszarkę do włosów. Copyright GIATA 2004 - 2020. Multilingual, powered by www.giata.com for client no. 126372</p>,<h3 class=""hotel-description__subject hotel--description--subject"">Wyżywienie:</h3>,<p>Spośród posiłków wybrać można śniadanie.</p>,<h3 class=""hotel-description__subject hotel--description--subject"">Karty kredytowe:</h3>,<p>W obiekcie akceptowane są następujące karty kredytowe: American Express, Visa i MasterCard.</p>,<h3 class=""hotel-description__subject hotel--description--subject"">Opis oferty:</h3>",https://cdntravelplanet.pl/128798/tpsel/miniature650x367/hiszpania/madryt/madryt/mediodia_TP322372.jpg,1
